name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft
NorthPark Center,retail,"Dallas County, Texas",North Central Expressway,32.868392671551504,-96.7734996,1219856.7127600124,792906.86
Industrial on Lance Drive,industrial,"Dallas County, Texas",Lance Drive,32.717253578622284,-97.03051183,1206588.614563642,784282.6
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.97963631,-96.71573619,55279.42770110503,35931.63
Unbridled Living of Dallas,commercial,"Dallas County, Texas",Coit Road,32.916451699751896,-96.77031007,115102.88998099344,74816.88
Office on Hillcrest Road,office,"Dallas County, Texas",Hillcrest Road,32.92348512703183,-96.78524979,56623.911896393445,36805.54
Commercial on River Bend Drive,commercial,"Dallas County, Texas",River Bend Drive,32.81739806484384,-96.86464146,49878.46556301347,32421.0
Commercial on Empire Central Drive,commercial,"Dallas County, Texas",Empire Central Drive,32.82558068534255,-96.86589923,41797.77709083695,27168.56
Industrial on Joe Field Road,industrial,"Dallas County, Texas",Joe Field Road,32.891586522314164,-96.90704528,157702.09362277616,102506.36
Warehouse on Maybank Drive,warehouse,"Dallas County, Texas",Maybank Drive,32.86798733245903,-96.88616042,54830.12136630043,35639.58
Warehouse on Denton Drive,warehouse,"Dallas County, Texas",Denton Drive,32.87675184396468,-96.88338383,225501.6964540892,146576.1
Commercial on East 10th Street,commercial,"Dallas County, Texas",East 10th Street,32.74541149637884,-96.82197242,78244.09340519914,50858.66
Commercial on Cockrell Avenue,commercial,"Dallas County, Texas",Cockrell Avenue,32.76041010412609,-96.7852623,142518.94322100392,92637.31
Commercial on Singleton Boulevard,commercial,"Dallas County, Texas",Singleton Boulevard,32.77811048891544,-96.84729483,27389.675932758262,17803.29
Commercial on Hi Line Drive,commercial,"Dallas County, Texas",Hi Line Drive,32.79538870826822,-96.82032425,40812.62967339042,26528.21
The International,commercial,"Dallas County, Texas",Turtle Creek Boulevard,32.79266434882347,-96.8265267,174516.56271492672,113435.77
Commercial on Conant Street,commercial,"Dallas County, Texas",Conant Street,32.79979188554051,-96.83759044,57860.38473,37609.25
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.80318865810432,-96.7541389,42792.09280065548,27814.86
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.802443083993595,-96.75367256,55739.706323657774,36230.81
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.853425027587974,-96.75202025,38766.62396056439,25198.31
Commercial on North Westmoreland Road,commercial,"Dallas County, Texas",North Westmoreland Road,32.76466037186907,-96.87127215,39212.56118752609,25488.16
Commercial on East Ann Arbor Avenue,commercial,"Dallas County, Texas",East Ann Arbor Avenue,32.69006683,-96.81647009,60815.32908800373,39529.96
Commercial on East Ann Arbor Avenue,commercial,"Dallas County, Texas",East Ann Arbor Avenue,32.69079111688009,-96.81635212,49583.526348512525,32229.29
Office on Villa Creek Drive,office,"Dallas County, Texas",Villa Creek Drive,32.91231288714998,-96.888326,54566.3014444962,35468.1
Commercial on Marvin D Love Freeway,commercial,"Dallas County, Texas",Marvin D Love Freeway,32.67715346266575,-96.85767502,21828.55273642991,14188.56
Commercial on Kirnwood Drive,commercial,"Dallas County, Texas",Kirnwood Drive,32.642307223572125,-96.87499678,64055.18984071947,41635.87
Commercial on West Virginia Drive,commercial,"Dallas County, Texas",West Virginia Drive,32.650339394984705,-96.87636278,47694.96409491016,31001.73
Commercial on York Drive,commercial,"Dallas County, Texas",York Drive,32.64464016394096,-96.88024476,57349.56640881134,37277.22
Commercial on Scotland Drive,commercial,"Dallas County, Texas",Scotland Drive,32.6430136608444,-96.88025218,53338.02136388285,34669.71
