name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
NorthPark Center,retail,"Dallas County, Texas",North Central Expressway,32.868392671551504,-96.7734996,1219856.7127600124,792906.86,73661.04729399999,23659928.0,23659.93,64821.7,1799.0,11474,67244,4,14,0.3172,High,High,Medium,7926076.0,7926.08,14732.21,14.732,29464420.0,29.464
Industrial on Lance Drive,industrial,"Dallas County, Texas",Lance Drive,32.717253578622284,-97.03051183,1206588.614563642,784282.6,72859.85354,23402585.0,23402.58,64116.7,1779.4,2673,42009,1,18,0.1844,High,Low,Low,7839866.0,7839.87,14571.97,14.572,29143940.0,29.144
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.97963631,-96.71573619,55279.42770110503,35931.63,3338.048427,1072181.0,1072.18,2937.5,81.5,4517,43514,11,45,0.074,Medium,Medium,Medium,359181.0,359.18,667.61,0.668,1335220.0,1.335
Unbridled Living of Dallas,commercial,"Dallas County, Texas",Coit Road,32.916451699751896,-96.77031007,115102.88998099344,74816.88,6950.488152,2232497.0,2232.5,6116.4,169.7,6819,66022,5,27,0.1154,Medium,Medium,Medium,747886.0,747.89,1390.1,1.39,2780200.0,2.78
Office on Hillcrest Road,office,"Dallas County, Texas",Hillcrest Road,32.92348512703183,-96.78524979,56623.911896393445,36805.54,3419.234666,1098258.0,1098.26,3008.9,83.5,4719,65889,7,40,0.0771,Medium,Medium,Medium,367916.0,367.92,683.85,0.684,1367700.0,1.368
Commercial on River Bend Drive,commercial,"Dallas County, Texas",River Bend Drive,32.81739806484384,-96.86464146,49878.46556301347,32421.0,3011.9109,967426.0,967.43,2650.5,73.6,1137,30529,10,42,0.0229,Medium,Low,Medium,324088.0,324.09,602.38,0.602,1204760.0,1.205
Commercial on Empire Central Drive,commercial,"Dallas County, Texas",Empire Central Drive,32.82558068534255,-96.86589923,41797.77709083695,27168.56,2523.959224,810696.0,810.7,2221.1,61.6,1562,31902,12,43,0.0283,Low,Low,Medium,271583.0,271.58,504.79,0.505,1009580.0,1.01
Industrial on Joe Field Road,industrial,"Dallas County, Texas",Joe Field Road,32.891586522314164,-96.90704528,157702.09362277616,102506.36,9522.840844,3058736.0,3058.74,8380.1,232.6,1161,33601,4,30,0.0362,Medium,Low,Medium,1024677.0,1024.68,1904.57,1.905,3809140.0,3.809
Warehouse on Maybank Drive,warehouse,"Dallas County, Texas",Maybank Drive,32.86798733245903,-96.88616042,54830.12136630043,35639.58,3310.916982,1063467.0,1063.47,2913.6,80.9,3967,31463,2,19,0.0657,Medium,Medium,Low,356261.0,356.26,662.18,0.662,1324360.0,1.324
Warehouse on Denton Drive,warehouse,"Dallas County, Texas",Denton Drive,32.87675184396468,-96.88338383,225501.6964540892,146576.1,13616.91969,4373755.0,4373.76,11982.9,332.6,3691,32296,1,12,0.082,High,Low,Low,1465208.0,1465.21,2723.38,2.723,5446760.0,5.447
Commercial on East 10th Street,commercial,"Dallas County, Texas",East 10th Street,32.74541149637884,-96.82197242,78244.09340519914,50858.66,4724.7695140000005,1517596.0,1517.6,4157.8,115.4,6162,51698,5,47,0.1012,Medium,Medium,Medium,508395.0,508.4,944.95,0.945,1889900.0,1.89
Commercial on Cockrell Avenue,commercial,"Dallas County, Texas",Cockrell Avenue,32.76041010412609,-96.7852623,142518.94322100392,92637.31,8606.006099,2764249.0,2764.25,7573.3,210.2,3471,56519,1,96,0.0688,Medium,Low,Low,926023.0,926.02,1721.2,1.721,3442400.0,3.442
Commercial on Singleton Boulevard,commercial,"Dallas County, Texas",Singleton Boulevard,32.77811048891544,-96.84729483,27389.675932758262,17803.29,1653.925641,531241.0,531.24,1455.5,40.4,5077,52198,1,110,0.079,Low,Medium,Low,177966.0,177.97,330.79,0.331,661580.0,0.662
Commercial on Hi Line Drive,commercial,"Dallas County, Texas",Hi Line Drive,32.79538870826822,-96.82032425,40812.62967339042,26528.21,2464.470709,791588.0,791.59,2168.7,60.2,10626,89732,20,139,0.1633,Low,Medium,High,265182.0,265.18,492.89,0.493,985780.0,0.986
The International,commercial,"Dallas County, Texas",Turtle Creek Boulevard,32.79266434882347,-96.8265267,174516.56271492672,113435.77,10538.183033,3384864.0,3384.86,9273.6,257.4,4239,83857,6,139,0.0841,High,Medium,Medium,1133929.0,1133.93,2107.64,2.108,4215280.0,4.215
Commercial on Conant Street,commercial,"Dallas County, Texas",Conant Street,32.79979188554051,-96.83759044,57860.38473,37609.25,3493.899325,1122240.0,1122.24,3074.6,85.3,2208,71739,7,141,0.0398,Medium,Low,Medium,375950.0,375.95,698.78,0.699,1397560.0,1.398
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.80318865810432,-96.7541389,42792.09280065548,27814.86,2584.000494,829981.0,829.98,2273.9,63.1,9197,78917,0,57,0.1422,Medium,Medium,Low,278044.0,278.04,516.8,0.517,1033600.0,1.034
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.802443083993595,-96.75367256,55739.706323657774,36230.81,3365.842249,1081109.0,1081.11,2961.9,82.2,8963,78284,0,55,0.1403,Medium,Medium,Low,362172.0,362.17,673.17,0.673,1346340.0,1.346
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.853425027587974,-96.75202025,38766.62396056439,25198.31,2340.922999,751904.0,751.9,2060.0,57.2,13785,70449,1,14,0.2101,Low,High,Low,251888.0,251.89,468.18,0.468,936360.0,0.936
Commercial on North Westmoreland Road,commercial,"Dallas County, Texas",North Westmoreland Road,32.76466037186907,-96.87127215,39212.56118752609,25488.16,2367.850064,760553.0,760.55,2083.7,57.8,4207,38908,10,19,0.0674,Low,Medium,Medium,254785.0,254.78,473.57,0.474,947140.0,0.947
Commercial on East Ann Arbor Avenue,commercial,"Dallas County, Texas",East Ann Arbor Avenue,32.69006683,-96.81647009,60815.32908800373,39529.96,3672.333284,1179553.0,1179.55,3231.7,89.7,4935,40855,0,2,0.0808,Medium,Medium,Low,395150.0,395.15,734.47,0.734,1468940.0,1.469
Commercial on East Ann Arbor Avenue,commercial,"Dallas County, Texas",East Ann Arbor Avenue,32.69079111688009,-96.81635212,49583.526348512525,32229.29,2994.101041,961705.0,961.7,2634.8,73.1,5036,40982,0,2,0.081,Medium,Medium,Low,322171.0,322.17,598.82,0.599,1197640.0,1.198
Office on Villa Creek Drive,office,"Dallas County, Texas",Villa Creek Drive,32.91231288714998,-96.888326,54566.3014444962,35468.1,3294.98649,1058350.0,1058.35,2899.6,80.5,4093,32437,4,22,0.0675,Medium,Medium,Medium,354547.0,354.55,659.0,0.659,1318000.0,1.318
Commercial on Marvin D Love Freeway,commercial,"Dallas County, Texas",Marvin D Love Freeway,32.67715346266575,-96.85767502,21828.55273642991,14188.56,1318.117224,423379.0,423.38,1159.9,32.2,3978,38742,0,7,0.0619,Low,Medium,Low,141832.0,141.83,263.62,0.264,527240.0,0.527
Commercial on Kirnwood Drive,commercial,"Dallas County, Texas",Kirnwood Drive,32.642307223572125,-96.87499678,64055.18984071947,41635.87,3867.972323,1242393.0,1242.39,3403.8,94.5,4633,32074,5,9,0.0767,Medium,Medium,Medium,416202.0,416.2,773.59,0.774,1547180.0,1.547
